user_id,song_id,interaction
0,127620,1
0,126782,1
0,153956,1
0,111226,1
0,108970,1
0,148218,1
0,109896,1
0,130132,1
0,112484,1
0,113697,1
0,122004,1
0,133441,1
0,148234,1
0,145059,1
0,114238,1
0,105715,1
0,143058,1
0,113946,1
0,129391,1
0,140623,1
0,133443,1
0,134509,1
0,123333,1
0,110653,1
0,127066,1
0,123935,1
0,105672,1
0,107591,1
0,138416,1
0,115735,1
0,145710,1
0,114077,1
0,122166,1
0,142081,1
0,133802,1
0,139994,1
0,148112,1
0,109963,1
0,136466,1
0,113284,1
0,123504,1
0,115288,1
0,116879,1
0,137424,1
0,127290,1
0,106948,1
1,003910,1
1,113453,1
1,126357,1
1,136324,1
1,104086,1
1,118972,1
1,109468,1
1,101951,1
1,125774,1
1,126412,1
1,154303,1
1,123504,1
1,138578,1
1,145027,1
1,109350,1
1,107567,1
1,114373,1
1,138061,1
1,125776,1
1,101868,1
1,000210,1
1,126229,1
1,005156,1
1,107532,1
1,111230,1
1,001087,1
1,119985,1
1,010668,1
1,114939,1
1,009557,1
1,136091,1
1,121595,1
1,006608,1
1,120314,1
1,010375,1
1,148120,1
1,006778,1
1,133729,1
1,148214,1
1,000204,1
1,114042,1
1,114400,1
1,116547,1
1,121869,1
2,123490,1
2,107425,1
2,115262,1
2,111386,1
2,005156,1
2,133546,1
2,125816,1
2,124509,1
2,122621,1
2,127909,1
2,141901,1
2,000255,1
2,011059,1
2,117613,1
2,126589,1
2,143941,1
2,116755,1
2,000995,1
2,112585,1
2,141876,1
2,129053,1
2,153337,1
2,004068,1
2,144173,1
2,109447,1
2,111382,1
2,113280,1
2,116449,1
2,126105,1
2,116236,1
2,127495,1
2,125779,1
2,124754,1
2,113699,1
2,113810,1
2,115813,1
2,138060,1
3,122646,1
3,145431,1
3,115699,1
3,114412,1
3,109711,1
3,146147,1
3,139954,1
3,127806,1
3,119896,1
3,122648,1
3,126749,1
3,133455,1
3,001683,1
3,011937,1
3,004099,1
3,141300,1
3,148608,1
3,115268,1
3,121454,1
3,104277,1
3,008357,1
3,127559,1
3,133436,1
3,134455,1
3,126676,1
3,131924,1
3,116878,1
3,149700,1
4,125778,1
4,130454,1
4,120320,1
4,125824,1
4,003833,1
4,130930,1
4,107912,1
4,112586,1
4,124519,1
4,137990,1
4,145756,1
4,110923,1
4,121922,1
4,142516,1
4,141074,1
4,133561,1
4,138023,1
4,134794,1
4,003538,1
4,137551,1
4,117614,1
4,102195,1
4,122472,1
4,140421,1
4,105890,1
4,005158,1
4,117991,1
4,140939,1
4,123427,1
4,125612,1
4,010694,1
4,129696,1
4,124876,1
4,109538,1
4,145653,1
4,110171,1
4,116735,1
4,110111,1
4,138306,1
4,107579,1
5,123505,1
5,126223,1
5,127915,1
5,132141,1
5,131624,1
5,131903,1
5,114940,1
5,116874,1
5,124918,1
5,110110,1
5,114272,1
5,143303,1
5,137899,1
5,130137,1
5,110688,1
5,134449,1
5,110171,1
5,000707,1
5,117943,1
5,146148,1
5,148286,1
5,115922,1
5,133100,1
5,130956,1
5,109543,1
5,139117,1
5,097548,1
5,131923,1
5,124996,1
5,000534,1
5,108427,1
5,117172,1
5,114044,1
6,107027,1
6,144469,1
6,105719,1
6,120775,1
6,004093,1
6,004092,1
6,007489,1
6,134388,1
6,099363,1
6,114413,1
6,011234,1
6,114049,1
6,139520,1
6,011781,1
6,129926,1
6,135044,1
6,131787,1
6,108526,1
6,006684,1
6,126300,1
6,145183,1
6,009721,1
6,129914,1
6,110204,1
6,144733,1
6,107574,1
6,110649,1
6,134825,1
6,115698,1
6,125299,1
